
  Variables:
    x : Size=3216, Index=x_index, Domain=NonNegativeReals
        Key                     : Lower : Value : Upper : Fixed : Stale
               ('AbeOT', 'B63') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B64') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B65') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B66') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B71') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B72') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B73') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B74') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B75') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'B76') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C11') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C12') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C13') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C21') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C22') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C23') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C31') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C32') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C33') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C41') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C42') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C43') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C51') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C52') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C53') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C61') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C62') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C63') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C71') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C72') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'C73') :     0 :   0.0 :  None : False : False
                ('AbeOT', 'DD') :     0 :  15.0 :  None : False : False
               ('AbeOT', 'F11') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F12') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F13') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F14') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F15') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F16') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F21') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F22') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F23') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F24') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F25') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F26') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F31') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F32') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F33') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F34') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F35') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F36') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F41') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F42') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F43') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F44') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F45') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F46') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F51') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F52') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F53') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F54') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F55') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F56') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F61') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F62') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F63') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F64') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F65') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F66') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F71') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F72') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F73') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F74') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F75') :     0 :   0.0 :  None : False : False
               ('AbeOT', 'F76') :     0 :   0.0 :  None : False : False
               ('Benji', 'A11') :     0 :   0.0 :  None : False : False
               ('Benji', 'A12') :     0 :   0.0 :  None : False : False
               ('Benji', 'A13') :     0 :   0.0 :  None : False : False
               ('Benji', 'A14') :     0 :   0.0 :  None : False : False
               ('Benji', 'A21') :     0 :   0.0 :  None : False : False
               ('Benji', 'A22') :     0 :   0.0 :  None : False : False
               ('Benji', 'A23') :     0 :   0.0 :  None : False : False
               ('Benji', 'A24') :     0 :   0.0 :  None : False : False
               ('Benji', 'A31') :     0 :   0.0 :  None : False : False
               ('Benji', 'A32') :     0 :   0.0 :  None : False : False
               ('Benji', 'A33') :     0 :   0.0 :  None : False : False
               ('Benji', 'A34') :     0 :   0.0 :  None : False : False
               ('Benji', 'A41') :     0 :   0.0 :  None : False : False
               ('Benji', 'A42') :     0 :   0.0 :  None : False : False
