             ('MartyOT', 'FG1') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'FG2') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'FG3') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'FG4') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'FG5') :     0 :   0.0 :  None : False : False
             ('MartyOT', 'FG6') :     0 :   0.0 :  None : False : False
             ('Millard', 'AG1') :     0 :   0.0 :  None : False : False
             ('Millard', 'AG2') :     0 :   0.0 :  None : False : False
             ('Millard', 'AG3') :     0 :   0.0 :  None : False : False
             ('Millard', 'AG4') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP1') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP2') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP3') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP4') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP5') :     0 :   0.0 :  None : False : False
             ('Millard', 'BP6') :     0 :   0.0 :  None : False : False
             ('Millard', 'CL1') :     0 :  23.0 :  None : False : False
             ('Millard', 'CL2') :     0 :   6.5 :  None : False : False
             ('Millard', 'CL3') :     0 :   0.0 :  None : False : False
              ('Millard', 'DD') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG1') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG2') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG3') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG4') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG5') :     0 :   0.0 :  None : False : False
             ('Millard', 'FG6') :     0 :   0.0 :  None : False : False
              ('Pierce', 'AG1') :     0 :   0.0 :  None : False : False
              ('Pierce', 'AG2') :     0 :   0.0 :  None : False : False
              ('Pierce', 'AG3') :     0 :   0.0 :  None : False : False
              ('Pierce', 'AG4') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP1') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP2') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP3') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP4') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP5') :     0 :   0.0 :  None : False : False
              ('Pierce', 'BP6') :     0 :   0.0 :  None : False : False
              ('Pierce', 'CL1') :     0 :   0.0 :  None : False : False
              ('Pierce', 'CL2') :     0 :  21.5 :  None : False : False
              ('Pierce', 'CL3') :     0 :   8.0 :  None : False : False
               ('Pierce', 'DD') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG1') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG2') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG3') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG4') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG5') :     0 :   0.0 :  None : False : False
              ('Pierce', 'FG6') :     0 :   0.0 :  None : False : False
                ('Polk', 'AG1') :     0 :   0.0 :  None : False : False
                ('Polk', 'AG2') :     0 :   0.0 :  None : False : False
                ('Polk', 'AG3') :     0 :   0.0 :  None : False : False
                ('Polk', 'AG4') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP1') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP2') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP3') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP4') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP5') :     0 :   0.0 :  None : False : False
                ('Polk', 'BP6') :     0 :   0.0 :  None : False : False
                ('Polk', 'CL1') :     0 :   0.0 :  None : False : False
                ('Polk', 'CL2') :     0 :   0.0 :  None : False : False
                ('Polk', 'CL3') :     0 :  20.0 :  None : False : False
                 ('Polk', 'DD') :     0 :   0.0 :  None : False : False
                ('Polk', 'FG1') :     0 :   9.5 :  None : False : False
                ('Polk', 'FG2') :     0 :   0.0 :  None : False : False
                ('Polk', 'FG3') :     0 :   0.0 :  None : False : False
                ('Polk', 'FG4') :     0 :   0.0 :  None : False : False
                ('Polk', 'FG5') :     0 :   0.0 :  None : False : False
                ('Polk', 'FG6') :     0 :   0.0 :  None : False : False
              ('Quincy', 'AG1') :     0 :   0.0 :  None : False : False
              ('Quincy', 'AG2') :     0 :   0.0 :  None : False : False
              ('Quincy', 'AG3') :     0 :   0.0 :  None : False : False
              ('Quincy', 'AG4') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP1') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP2') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP3') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP4') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP5') :     0 :   0.0 :  None : False : False
              ('Quincy', 'BP6') :     0 :   0.0 :  None : False : False
              ('Quincy', 'CL1') :     0 :   0.0 :  None : False : False
              ('Quincy', 'CL2') :     0 :   0.0 :  None : False : False
              ('Quincy', 'CL3') :     0 :   0.0 :  None : False : False
               ('Quincy', 'DD') :     0 :   0.0 :  None : False : False
              ('Quincy', 'FG1') :     0 :  18.5 :  None : False : False
              ('Quincy', 'FG2') :     0 :  11.0 :  None : False : False
              ('Quincy', 'FG3') :     0 :   0.0 :  None : False : False
              ('Quincy', 'FG4') :     0 :   0.0 :  None : False : False
              ('Quincy', 'FG5') :     0 :   0.0 :  None : False : False
              ('Quincy', 'FG6') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'AG1') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'AG2') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'AG3') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'AG4') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP1') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP2') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP3') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP4') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP5') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'BP6') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'CL1') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'CL2') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'CL3') :     0 :   0.0 :  None : False : False
           ('Rutherford', 'DD') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'FG1') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'FG2') :     0 :  17.0 :  None : False : False
          ('Rutherford', 'FG3') :     0 :  28.0 :  None : False : False
          ('Rutherford', 'FG4') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'FG5') :     0 :   0.0 :  None : False : False
          ('Rutherford', 'FG6') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'AG1') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'AG2') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'AG3') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'AG4') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP1') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP2') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP3') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP4') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP5') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'BP6') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'CL1') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'CL2') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'CL3') :     0 :   0.0 :  None : False : False
         ('RutherfordOT', 'DD') :     0 :  15.0 :  None : False : False
        ('RutherfordOT', 'FG1') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'FG2') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'FG3') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'FG4') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'FG5') :     0 :   0.0 :  None : False : False
        ('RutherfordOT', 'FG6') :     0 :   0.0 :  None : False : False
               ('Teddy', 'AG1') :     0 :   0.0 :  None : False : False
               ('Teddy', 'AG2') :     0 :   0.0 :  None : False : False
               ('Teddy', 'AG3') :     0 :   0.0 :  None : False : False
               ('Teddy', 'AG4') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP1') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP2') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP3') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP4') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP5') :     0 :   0.0 :  None : False : False
               ('Teddy', 'BP6') :     0 :   0.0 :  None : False : False
               ('Teddy', 'CL1') :     0 :   0.0 :  None : False : False
               ('Teddy', 'CL2') :     0 :   0.0 :  None : False : False
               ('Teddy', 'CL3') :     0 :   0.0 :  None : False : False
                ('Teddy', 'DD') :     0 :  45.0 :  None : False : False
               ('Teddy', 'FG1') :     0 :   0.0 :  None : False : False
               ('Teddy', 'FG2') :     0 :   0.0 :  None : False : False
               ('Teddy', 'FG3') :     0 :   0.0 :  None : False : False
               ('Teddy', 'FG4') :     0 :   0.0 :  None : False : False
               ('Teddy', 'FG5') :     0 :   0.0 :  None : False : False
               ('Teddy', 'FG6') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'AG1') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'AG2') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'AG3') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'AG4') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP1') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP2') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP3') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP4') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP5') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'BP6') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'CL1') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'CL2') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'CL3') :     0 :   0.0 :  None : False : False
              ('TeddyOT', 'DD') :     0 :  15.0 :  None : False : False
             ('TeddyOT', 'FG1') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'FG2') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'FG3') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'FG4') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'FG5') :     0 :   0.0 :  None : False : False
             ('TeddyOT', 'FG6') :     0 :   0.0 :  None : False : False
              ('Warren', 'AG1') :     0 :   0.0 :  None : False : False
              ('Warren', 'AG2') :     0 :   0.0 :  None : False : False
              ('Warren', 'AG3') :     0 :  20.0 :  None : False : False
              ('Warren', 'AG4') :     0 :   0.0 :  None : False : False
              ('Warren', 'BP1') :     0 :   0.0 :  None : False : False
              ('Warren', 'BP2') :     0 :   0.0 :  None : False : False
              ('Warren', 'BP3') :     0 :   0.0 :  None : False : False
              ('Warren', 'BP4') :     0 :   0.0 :  None : False : False
